,Te,Tint_moy,ΔT,Irr,Ptot
2023-02-02 23:00:00,9.32694444444444,20.01,10.683055555555562,-0.5928604224058761,2028.44
2023-02-03 00:00:00,9.16749999999999,20.024285714285718,10.856785714285728,-0.6450872359963264,2021.0
2023-02-03 01:00:00,8.93611111111111,20.01142857142857,11.07531746031746,-0.4970156106519742,2006.0
2023-02-03 02:00:00,8.54,20.01142857142857,11.471428571428572,-1.0499885215794216,2008.0
2023-02-03 03:00:00,8.40833333333333,20.007142857142856,11.598809523809527,-0.7426538108356281,2050.0
2023-02-03 04:00:00,8.42944444444444,20.02285714285714,11.5934126984127,-0.7455234159779608,2048.0
2023-02-03 05:00:00,8.40611111111111,20.01,11.603888888888891,-0.4608585858585858,2025.0
2023-02-03 06:00:00,8.20361111111111,19.99428571428572,11.79067460317461,-0.5245638200183647,2072.0
2023-02-03 07:00:00,8.00333333333333,20.02285714285714,12.019523809523811,-0.7067837465564731,2091.0
2023-02-03 08:00:00,8.14611111111111,20.012857142857143,11.866746031746032,-0.3641528925619834,2086.0
2023-02-03 09:00:00,7.92277777777777,20.027142857142856,12.104365079365085,6.813590449954082,2100.0
2023-02-03 10:00:00,8.36361111111111,20.00857142857143,11.644960317460319,30.393135904499484,2079.0
2023-02-03 11:00:00,8.45055555555555,20.00714285714286,11.55658730158731,77.32811065197427,2094.0
2023-02-03 12:00:00,9.05027777777777,20.02714285714286,10.976865079365089,112.0078627180899,2115.0
2023-02-03 13:00:00,9.44527777777777,20.03142857142857,10.5861507936508,108.57151056014668,2076.0
2023-02-03 14:00:00,9.65972222222222,20.03857142857143,10.37884920634921,117.870466023875,2061.0
2023-02-03 15:00:00,10.1041666666666,20.037142857142857,9.932976190476257,76.84716483011933,2001.0
2023-02-03 16:00:00,10.2091666666666,20.024285714285718,9.815119047619117,56.96567952249762,1960.0
2023-02-03 17:00:00,10.1894444444444,20.00428571428571,9.814841269841311,18.17292240587686,1900.0
2023-02-03 18:00:00,10.2119444444444,20.018571428571427,9.806626984127027,6.430211202938471,1938.0
2023-02-03 19:00:00,10.2630555555555,20.018571428571427,9.755515873015927,-0.2063246097337004,1913.0
2023-02-03 20:00:00,10.2044444444444,20.01571428571429,9.811269841269889,-0.5222681359044989,1903.0
2023-02-03 21:00:00,10.0530555555555,20.01571428571429,9.962658730158788,-0.5627295684113863,1871.0
2023-02-03 22:00:00,9.89555555555555,20.01142857142857,10.11587301587302,-0.4674586776859504,1917.0
2023-02-03 23:00:00,9.78527777777777,20.02714285714286,10.24186507936509,-0.4201101928374649,1900.0
2023-02-04 00:00:00,9.60166666666666,20.035714285714285,10.434047619047625,-0.4292929292929288,1914.0
2023-02-04 01:00:00,9.5275,20.018571428571427,10.491071428571427,-0.3925619834710743,1872.0
2023-02-04 02:00:00,9.47305555555555,20.030000000000005,10.556944444444454,-0.3942837465564732,1879.0
2023-02-04 03:00:00,9.4075,20.01,10.602500000000001,-0.4143709825528006,1852.0
2023-02-04 04:00:00,9.30916666666666,20.020000000000003,10.710833333333342,-0.4255624426078967,1869.0
2023-02-04 05:00:00,9.18666666666666,20.025714285714287,10.839047619047626,-0.4120752984389339,1897.0
2023-02-04 06:00:00,9.14138888888888,20.03428571428572,10.89289682539684,-0.4310146923783286,1891.0
2023-02-04 07:00:00,9.07277777777777,20.025714285714287,10.952936507936517,-0.4361799816345268,1876.0
2023-02-04 08:00:00,9.02333333333333,20.01,10.986666666666672,-0.3770661157024793,1861.0
2023-02-04 09:00:00,8.97888888888889,20.00857142857143,11.02968253968254,7.943640955004588,1914.0
2023-02-04 10:00:00,8.77388888888888,20.025714285714283,11.251825396825403,26.22417355371891,1917.0
2023-02-04 11:00:00,8.65666666666666,20.02,11.36333333333334,36.00550964187324,1892.0
2023-02-04 12:00:00,9.08166666666666,20.007142857142856,10.925476190476196,64.7009871441689,1864.0
2023-02-04 13:00:00,9.54083333333333,20.027142857142856,10.486309523809526,74.3227731864095,1902.0
2023-02-04 14:00:00,9.44861111111111,20.02428571428572,10.575674603174612,38.523588154269945,1891.0
2023-02-04 15:00:00,9.22416666666666,20.02142857142857,10.797261904761909,73.2750803489439,1836.0
2023-02-04 16:00:00,9.52722222222222,20.005714285714284,10.478492063492064,44.6694214876032,1791.0
2023-02-04 17:00:00,9.52222222222222,20.032857142857143,10.510634920634923,30.574494949494937,1866.0
2023-02-04 18:00:00,9.45277777777777,20.017142857142854,10.564365079365084,8.380968778696044,1809.0
2023-02-04 19:00:00,9.32055555555555,20.024285714285718,10.703730158730167,-0.8511248852157934,1815.0
2023-02-04 20:00:00,9.3325,20.014285714285712,10.681785714285713,-0.8281680440771344,1840.0
2023-02-04 21:00:00,9.20055555555555,20.002857142857145,10.802301587301596,-1.1699380165289257,1816.0
2023-02-04 22:00:00,8.86277777777777,20.00142857142857,11.138650793650799,-1.207816804407707,1850.0
2023-02-04 23:00:00,8.58222222222222,20.014285714285712,11.432063492063492,-1.295913682277314,1874.0
2023-02-05 00:00:00,8.32944444444444,20.02857142857143,11.699126984126988,-1.3424012855830991,1912.0
2023-02-05 01:00:00,8.19416666666666,20.01571428571429,11.821547619047628,-1.3251836547291012,1903.0
2023-02-05 02:00:00,8.03944444444444,20.018571428571427,11.979126984126987,-1.3533057851239672,1944.0
2023-02-05 03:00:00,7.94944444444444,20.03428571428572,12.084841269841279,-1.134354912763998,1978.0
2023-02-05 04:00:00,7.91027777777777,20.018571428571427,12.108293650793657,-0.9736570247933884,1958.0
2023-02-05 05:00:00,7.72472222222222,20.002857142857145,12.278134920634926,-0.8364898989898988,1963.0
2023-02-05 06:00:00,7.42527777777777,20.00714285714286,12.581865079365091,-0.964761248852158,2033.0
2023-02-05 07:00:00,7.08611111111111,20.025714285714287,12.939603174603176,-1.3182966023875105,2038.0
2023-02-05 08:00:00,7.035,20.001428571428573,12.966428571428573,-0.6304522497704309,2037.0
2023-02-05 09:00:00,7.05611111111111,20.00857142857143,12.952460317460318,8.469926538108348,2096.0
2023-02-05 10:00:00,7.36472222222222,20.00714285714286,12.64242063492064,35.93893480257108,2074.0
2023-02-05 11:00:00,7.93611111111111,19.99285714285714,12.05674603174603,79.0381083562901,2073.0
2023-02-05 12:00:00,8.50916666666666,20.005714285714287,11.496547619047627,186.475550964187,2097.0
2023-02-05 13:00:00,8.565,20.027142857142856,11.462142857142856,219.3569214876033,2093.0
2023-02-05 14:00:00,8.95333333333333,20.02428571428572,11.070952380952392,154.83901515151445,2041.0
2023-02-05 15:00:00,9.22638888888889,20.017142857142854,10.790753968253965,136.18313820018287,2000.0
2023-02-05 16:00:00,9.21388888888888,20.04285714285714,10.828968253968261,218.20907943066945,1967.0
2023-02-05 17:00:00,8.76583333333333,20.005714285714284,11.239880952380954,56.45603764921942,1882.0
2023-02-05 18:00:00,8.00888888888888,20.002857142857145,11.993968253968266,12.643193296602377,1914.0
2023-02-05 19:00:00,7.13194444444444,20.02142857142857,12.88948412698413,-2.7421946740128518,1973.0
2023-02-05 20:00:00,6.42555555555555,20.017142857142854,13.591587301587303,-2.8899793388429758,2010.0
2023-02-05 21:00:00,5.78583333333333,20.014285714285712,14.228452380952383,-2.617079889807159,2065.0
2023-02-05 22:00:00,5.23916666666666,20.002857142857145,14.763690476190487,-2.4606864095500414,2094.0
2023-02-05 23:00:00,4.92194444444444,20.0,15.07805555555556,-2.5327134986225825,2150.0
2023-02-06 00:00:00,4.34361111111111,20.002857142857145,15.659246031746036,-2.758838383838378,2226.0
2023-02-06 01:00:00,3.48416666666666,20.01428571428572,16.53011904761906,-2.857265840220382,2279.0
2023-02-06 02:00:00,2.79194444444444,19.974285714285717,17.182341269841277,-2.3080234159779547,2298.0
2023-02-06 03:00:00,2.43888888888888,19.97714285714286,17.53825396825398,-2.251779155188244,2445.0
